ID,Post Info,Date,Likes
0,drop your $5 Your Way order👇 (choice of main + 4 pc. nuggets + value fries + apprx 14 oz. value drink). price & participation vary. US only. terms apply: bk.com/terms,2024-06-17T17:44:20.000Z,3313
1,inspired by our BK HQ dad lore? show your father figure love this father’s day by scoring them a flame-grilled shirt. link in bio.,2024-06-16T16:08:12.000Z,395
2,#BKPartner @thedadsocial rocking our 🔥👕 dadcore shirt while working around the house. link in bio to score your shirt now.,2024-06-15T16:44:49.000Z,1147
3,what should we test out next?,2024-06-13T20:09:54.000Z,668
4,find any dad jokes written in there? 🔍 . gift your father or father figure a dadcore shirt. link in bio,2024-06-09T16:00:09.000Z,1711
5,dress dad in flame-grilled fashion for father’s day by gifting your father figure our dadcore shirt. link in bio,2024-06-08T14:11:37.000Z,1707
6,"for our 70th birthday, we want to share the 🔥 with you. get yours now for $0.70. link in bio. limited quantities available.#BurgerKing #birthday #candle #birthdaycandles #scent #fragrance #flamegrilled",2024-06-05T21:33:33.000Z,2211
7,keep your eyes and nose on our Shopify page on June 5th for a 70th birthday surprise! 👀👃🎂,2024-06-04T20:13:06.000Z,1274
8,"#BKPartner do you even (Whopper) board, bro? @ameliacarves @woodchucklaminates #skateboardart",2024-05-31T21:12:53.000Z,977
9,hurry! drop your guess👇,2024-05-26T17:05:36.000Z,3009
